Year,GEO.id2,GEO.display_label,County,State,State Abbr,Households,Poverty Households,ALICE Households,Above ALICE Households,ALICE Threshold - HH under 65,ALICE Threshold - HH 65 years and over,Source: American Community Survey 
2010,36001,"Albany County, New York",Albany,New York,NY,120485 ,15659 ,35032 ,69794 ,45000 ,40000 ,1-Year
2012,36001,"Albany County, New York",Albany,New York,NY,121119 ,15889 ,29706 ,75524 ,45000 ,40000 ,1-Year
2014,36001,"Albany County, New York",Albany,New York,NY,124716 ,15189 ,36413 ,73114 ,50000 ,45000 ,1-Year
2016,36001,"Albany County, New York",Albany,New York,NY,125329 ,15585 ,34190 ,75554 ,50000 ,45000 ,1-Year
2018,36001,"Albany County, New York",Albany,New York,NY,126578 ,13373 ,36495 ,76710 ,50000 ,50000 ,1-Year
2019,36001,"Albany County, New York",Albany,New York,NY,128284 ,14917 ,38239 ,75128 ,60000 ,50000 ,1-Year
2021,36001,"Albany County, New York",Albany,New York,NY,132171 ,16330 ,37551 ,78290 ,60000 ,60000 ,1-Year
2010,36003,"Allegany County, New York",Allegany,New York,NY,18844 ,3022 ,5836 ,9986 ,40000 ,35000 ,3-Year
2012,36003,"Allegany County, New York",Allegany,New York,NY,18572 ,3146 ,5948 ,9478 ,45000 ,35000 ,3-Year
2014,36003,"Allegany County, New York",Allegany,New York,NY,18407 ,2950 ,5961 ,9496 ,45000 ,35000 ,5-Year
2016,36003,"Allegany County, New York",Allegany,New York,NY,18032 ,2860 ,6020 ,9152 ,45000 ,40000 ,5-Year
2018,36003,"Allegany County, New York",Allegany,New York,NY,18009 ,2883 ,6076 ,9050 ,50000 ,40000 ,5-Year
2019,36003,"Allegany County, New York",Allegany,New York,NY,17948 ,2868 ,5697 ,9383 ,50000 ,40000 ,5-Year
2021,36003,"Allegany County, New York",Allegany,New York,NY,16671 ,2386 ,6261 ,8024 ,60000 ,50000 ,5-Year
2010,36005,"Bronx County, New York",Bronx,New York,NY,471912 ,137924 ,171764 ,162224 ,50000 ,45000 ,1-Year
2012,36005,"Bronx County, New York",Bronx,New York,NY,475978 ,145927 ,164759 ,165292 ,50000 ,45000 ,1-Year
2014,36005,"Bronx County, New York",Bronx,New York,NY,492481 ,150621 ,195088 ,146772 ,60000 ,45000 ,1-Year
2016,36005,"Bronx County, New York",Bronx,New York,NY,498539 ,141654 ,191228 ,165657 ,60000 ,50000 ,1-Year
2018,36005,"Bronx County, New York",Bronx,New York,NY,507370 ,144352 ,194036 ,168982 ,60000 ,60000 ,1-Year
