id,county,income,estimate,,,
1,Westchester,<10,15939,,,
2,Westchester,10-14.9,7512,,,
3,Westchester,15-19.9,7164,,,
4,Westchester,20-24.9,6810,,,
5,Westchester,25-29.9,9471,,,
6,Westchester,30-34.9,9129,,,
7,Westchester,35-39.9,8050,,,
8,Westchester,40-44.9,8775,,,
9,Westchester,45-49.9,6916,,,
10,Westchester,50-59.9,17909,,,
11,Westchester,60-74.9,27887,,,
12,Westchester,75-99.9,39812,,,
13,Westchester,100-124.9,30163,,,
14,Westchester,125-149.9,30381,,,
15,Westchester,150-199.9,43146,,,
16,Westchester,200-999,102672,,,
