Year,President,Party, OrigTotalDebt , OrigNewDebt ,TotalDebtBillions,NewDebtBillions,InflationMultiple,TotalDebtInflationAdj,NewDebtInflationAdj,NewDebtPct,PreviousRUnscaled,PreviousDUnscaled,UnscaledCalcTotalDebt,NewDebtScaled,PreviousRScaledOrig,PreviousDScaledOrig,NewPres,NDResponsbileParty,PreviousRScaledFinal,PreviouDScaledFinal,,,,
1970,Nixon,R," $370,918,706,950 "," $17,198,453,109 ",371,17,"7,54",2798,130,"0,0486",1334,1334,2798,84,864,864,N,D,864,864,,1728,1728,0
1971,Nixon,R," $398,129,744,456 "," $27,211,037,506 ",398,27,"7,23",2877,197,"0,0734",1464,1334,2995,128,948,864,N,R,948,864,,1812,1812,0
1972,Nixon,R," $427,260,460,941 "," $29,130,716,485 ",427,29,7,2991,204,"0,0732",1661,1334,3199,132,1076,864,N,R,1076,864,,1939,1939,0
1973,Nixon,R," $458,141,605,312 "," $30,881,144,372 ",458,31,"6,59",3020,204,"0,0723",1865,1334,3403,132,1208,864,N,R,1208,864,,2072,2072,0
1974,Ford,R," $475,059,815,732 "," $16,918,210,419 ",475,17,"5,94",2820,100,"0,0369",2069,1334,3503,65,1340,864,Y,R,1340,864,,2204,2204,0
1975,Ford,R," $53,318,900,000,000,000 "," $58,129,184,268 ",533,58,"5,44",2900,316,"0,1224",2169,1334,3819,205,1405,864,N,R,1405,864,,2268,2268,0
1976,Ford,R," $62,043,300,000,000,000 "," $872,440,000,000,000 ",620,87,"5,14",3191,449,"0,1636",2485,1334,4268,291,1609,864,N,R,1609,864,,2473,2473,0
1977,Carter,D," $6,988,400,000,000,000 "," $784,070,000,000,000 ",699,78,"4,83",3375,379,"0,1264",2485,1783,4647,245,1609,1155,Y,R,1900,864,,2764,2764,0
1978,Carter,D," $77,154,400,000,000,000 "," $727,040,000,000,000 ",772,73,"4,49",3463,326,"0,104",2485,2162,4973,211,1609,1400,N,D,2145,864,,3009,3009,0
1979,Carter,D," $82,651,900,000,000,000 "," $549,750,000,000,000 ",827,55,"4,03",3332,222,"0,0713",2485,2488,5195,144,1609,1611,N,D,2145,1075,,3220,3220,0
1980,Carter,D," $90,770,100,000,000,000 "," $811,820,000,000,000 ",908,81,"3,55",3224,288,"0,0982",2485,2710,5483,186,1609,1755,N,D,2145,1219,,3364,3364,0
1981,Reagan,R," $99,785,500,000,000,000 "," $901,540,000,000,000 ",998,90,"3,22",3213,290,"0,0993",2773,2710,5773,188,1796,1755,Y,D,2145,1405,,3551,3551,0
1982,Reagan,R," $1,142,034,000,000,000,000 "," $14,417,900,000,000,000 ",1142,144,"3,03",3463,437,"0,1445",3063,2710,6210,283,1983,1755,N,R,2145,1593,,3738,3738,0
1983,Reagan,R," $137,721,000,000,000,000 "," $23,517,600,000,000,000 ",1377,235,"2,94",4047,691,"0,2059",3500,2710,6901,447,2266,1755,N,R,2428,1593,,4021,4021,0
1984,Reagan,R," $1,572,266,000,000,000,000 "," $19,505,600,000,000,000 ",1572,195,"2,82",4429,549,"0,1416",4191,2710,7450,356,2714,1755,N,R,2876,1593,,4469,4469,0
1985,Reagan,R," $1,823,103,000,000,000,000 "," $25,083,700,000,000,000 ",1823,251,"2,72",4959,682,"0,1595",4740,2710,8132,442,3069,1755,N,R,3231,1593,,4824,4824,0
1986,Reagan,R," $2,125,302,616,658 "," $302,199,616,658 ",2125,302,"2,67",5675,807,"0,1658",5422,2710,8939,523,3511,1755,N,R,3673,1593,,5266,5266,0
1987,Reagan,R," $2,350,276,890,953 "," $224,974,274,295 ",2350,225,"2,58",6055,580,"0,1059",6229,2710,9519,376,4034,1755,N,R,4196,1593,,5789,5789,0
1988,Reagan,R," $2,602,337,712,041 "," $252,060,821,088 ",2602,252,"2,47",6438,624,"0,1072",6809,2710,10143,404,4409,1755,N,R,4571,1593,,6164,6164,0
1989,Bush I,R," $2,857,430,960,187 "," $255,093,248,146 ",2857,255,"2,36",6744,602,"0,098",7433,2710,10745,390,4813,1755,Y,R,4975,1593,,6568,6568,0
1990,Bush I,R," $3,233,313,451,777 "," $375,882,491,590 ",3233,376,"2,24",7240,842,"0,1315",8035,2710,11587,545,5203,1755,N,R,5365,1593,,6958,6958,0
1991,Bush I,R," $3,665,303,351,697 "," $431,989,899,920 ",3665,432,"2,15",7876,928,"0,1336",8877,2710,12515,601,5748,1755,N,R,5910,1593,,7503,7503,0
1992,Bush I,R," $4,064,620,655,522 "," $399,317,303,825 ",4065,399,"2,09",8478,833,"0,1089",9805,2710,13348,539,6349,1755,N,R,6511,1593,,8104,8104,0
1993,Clinton,D," $4,411,488,883,139 "," $346,868,227,618 ",4411,347,"2,03",8935,703,"0,0853",9805,3543,14051,455,6349,2294,Y,R,7051,1593,,8644,8644,0
1994,Clinton,D," $4,692,749,910,013 "," $281,261,026,874 ",4693,281,"1,97",9267,555,"0,0638",9805,4246,14606,359,6349,2750,N,D,7506,1593,,9099,9099,0
1995,Clinton,D," $4,973,982,900,709 "," $281,232,990,696 ",4974,281,"1,92",9552,540,"0,0599",9805,4801,15146,350,6349,3109,N,D,7506,1952,,9458,9458,0
1996,Clinton,D," $5,224,810,939,136 "," $250,828,038,426 ",5225,251,"1,87",9746,468,"0,0504",9805,5341,15614,303,6349,3459,N,D,7506,2302,,9808,9808,0
1997,Clinton,D," $5,413,146,011,397 "," $188,335,072,262 ",5413,188,"1,82",9870,343,"0,036",9805,5809,15957,222,6349,3762,N,D,7506,2605,,10111,10111,0
1998,Clinton,D," $5,526,193,008,898 "," $113,046,997,500 ",5526,113,"1,8",9922,203,"0,0209",9805,6152,16160,131,6349,3984,N,D,7506,2827,,10333,10333,0
1999,Clinton,D," $5,656,270,901,615 "," $130,077,892,718 ",5656,130,"1,76",9936,229,"0,0235",9805,6355,16389,148,6349,4115,N,D,7506,2959,,10465,10465,0
2000,Clinton,D," $5,674,178,209,887 "," $17,907,308,271 ",5674,18,"1,7",9643,30,"0,0032",9805,6584,16419,19,6349,4264,N,D,7506,3107,,10613,10613,0
