State,Abbreviate,Total Votes,BushVotes,BushPct,EV,GoreVotes,GorePct,EV,NaderVotes,NaderPct,RWinnerMargin,Winner,Population
Alabama,AL,1666272,941173,56.5,9.00,692611.00,41.6,,18323,1.1,14.9,R,4447100
Alaska,AK,285560,167398,58.6,3.00,79004.00,27.7,,28747,10.1,30.9,R,626932
Arizona,AZ,1532016,781652,51.0,8.00,685341.00,44.7,,45645,3.0,6.3,R,5130632
Arkansas,AR,921781,472940,51.3,6.00,422768.00,45.9,,13421,1.5,5.4,R,2673400
California,CA,10965856,4567429,41.7,,5861203.00,53.4,54.00,418707,3.8,-11.7,D,33871648
Colorado,CO,1741368,883748,50.8,8.00,738227.00,42.4,,91434,5.3,8.4,R,4301261
Connecticut,CT,1459525,561094,38.4,,816015.00,55.9,8.00,64452,4.4,-17.5,D,3405565
Delaware,DE,327622,137288,41.9,,180068.00,55.0,3.00,8307,2.5,-13.1,D,783600
Dist. of Col.*,DC,201894,18073,9.0,,171923.00,85.2,2*,10576,5.2,-76.2,D,572059
Florida,FL,5963110,2912790,48.8,25.00,2912253.00,48.8,,97488,1.6,0.0,D,15982378
Georgia,GA,2596645,1419720,54.7,13.00,1116230.00,43.0,,13273,0.5,11.7,R,8186453
Hawaii,HI,367951,137845,37.5,,205286.00,55.8,4.00,21623,5.9,-18.3,D,1211537
Idaho,ID,501621,336937,67.2,4.00,138637.00,27.6,,12292,2.5,39.6,R,1293953
Illinois,IL,4742123,2019421,42.6,,2589026.00,54.6,22.00,103759,2.2,-12.0,D,12419293
Indiana,IN,2199302,1245836,56.6,12.00,901980.00,41.0,,18531,0.8,15.6,R,6080485
Iowa,IA,1315563,634373,48.2,,638517.00,48.5,7.00,29374,2.2,-0.3,D,2926324
Kansas,KS,1072218,622332,58.0,6.00,399276.00,37.2,,36086,3.4,20.8,R,2688418
Kentucky,KY,1544187,872492,56.5,8.00,638898.00,41.4,,23192,1.5,15.1,R,4041769
Louisiana,LA,1765656,927871,52.6,9.00,792344.00,44.9,,20473,1.2,7.7,R,4468976
Maine,ME,651817,286616,44.0,,319951.00,49.1,4.00,37127,5.7,-5.1,D,1274923
Maryland,MD,2020480,813797,40.3,,1140782.00,56.5,10.00,53768,2.7,-16.2,D,5296486
Massachusetts,MA,2702984,878502,32.5,,1616487.00,59.8,12.00,173564,6.4,-27.3,D,6349097
Michigan,MI,4232711,1953139,46.1,,2170418.00,51.3,18.00,84165,2.0,-5.2,D,9938444
Minnesota,MN,2438685,1109659,45.5,,1168266.00,47.9,10.00,126696,5.2,-2.4,D,4919479
Mississippi,MS,994184,572844,57.6,7.00,404614.00,40.7,,8122,0.8,16.9,R,2844658
Missouri,MO,2359892,1189924,50.4,11.00,1111138.00,47.1,,38515,1.6,3.3,R,5595211
Montana,MT,410997,240178,58.4,3.00,137126.00,33.4,,24437,5.9,25.0,R,902195
Nebraska,NE,697019,433862,62.2,5.00,231780.00,33.3,,24540,3.5,28.9,R,1711263
Nevada,NV,608970,301575,49.5,4.00,279978.00,46.0,,15008,2.5,3.5,R,1998257
New Hampshire,NH,569081,273559,48.1,4.00,266348.00,46.8,,22198,3.9,1.3,R,1235786
New Jersey,NJ,3187226,1284173,40.3,,1788850.00,56.1,15.00,94554,3.0,-15.8,D,8414350
New Mexico,NM,598605,286417,47.8,,286783.00,47.9,5.00,21251,3.6,-0.1,D,1819046
New York,NY,6821999,2403374,35.2,,4107697.00,60.2,33.00,244030,3.6,-25.0,D,18976457
North Carolina,NC,2911262,1631163,56.0,14.00,1257692.00,43.2,,--,0.0,12.8,R,8049313
North Dakota,ND,288256,174852,60.7,3.00,95284.00,33.1,,9486,3.3,27.6,R,642200
Ohio,OH,4701998,2350363,50.0,21.00,2183628.00,46.4,,117799,2.5,3.6,R,11353140
Oklahoma,OK,1234229,744337,60.3,8.00,474276.00,38.4,,--,0.0,21.9,R,3450654
Oregon,OR,1533968,713577,46.5,,720342.00,47.0,7.00,77357,5.0,-0.5,D,3421399
Pennsylvania,PA,4913119,2281127,46.4,,2485967.00,50.6,23.00,103392,2.1,-4.2,D,12281054
Rhode Island,RI,409047,130555,31.9,,249508.00,61.0,4.00,25052,6.1,-29.1,D,1048319
South Carolina,SC,1382717,785937,56.8,8.00,565561.00,40.9,,20200,1.5,15.9,R,4012012
South Dakota,SD,316269,190700,60.3,3.00,118804.00,37.6,,--,0.0,22.7,R,754844
Tennessee,TN,2076181,1061949,51.1,11.00,981720.00,47.3,,19781,1.0,3.8,R,5689283
Texas,TX,6407637,3799639,59.3,32.00,2433746.00,38.0,,137994,2.2,21.3,R,20851820
Utah,UT,770754,515096,66.8,5.00,203053.00,26.3,,35850,4.7,40.5,R,2233169
Vermont,VT,294308,119775,40.7,,149022.00,50.6,3.00,20374,6.9,-9.9,D,608827
Virginia,VA,2739447,1437490,52.5,13.00,1217290.00,44.4,,59398,2.2,8.1,R,7078515
Washington,WA,2487433,1108864,44.6,,1247652.00,50.2,11.00,103002,4.1,-5.6,D,5894121
West Virginia,WV,648124,336475,51.9,5.00,295497.00,45.6,,10680,1.6,6.3,R,1808344
Wisconsin,WI,2598607,1237279,47.6,,1242987.00,47.8,11.00,94070,3.6,-0.2,D,5363675
Wyoming,WY,218351,147947,67.8,3.00,60481.00,27.7,,4625,2.1,40.1,R,493782
