State,Abbreviation,ApportionPop,Total EV,ECVPM_ApportionPop,Winner,Clinton Votes,Clinton %,Clinton EV,Trump Votes,Trump %,Trump EV,Johnson Votes,Johnson %,Johnson EV,Stein Votes,Stein %,Stein EV,McMullin Votes,McMullin %,McMullin EV,Others Votes,Others %,Others EV,WinnerMargin-Votes,WinnerMargin,Total Votes,ECPerVoter
Alabama,AL,5030053,9,1.789245561,T,"729,547",34.36%,0.00,"1,318,255",62.08%,9,"44,467",2.09%,–,"9,391",0.44%,–,–,–,–,"21,712",1.02%,–,588708.00,27.72,2123372,4.238541339
Alaska,AK,736081,3,4.075638415,T,"116,454",36.55%,0.00,"163,387",51.28%,3,"18,725",5.88%,–,"5,735",1.80%,–,–,–,–,"14,307",4.49%,–,46933.00,14.73,318608,9.415959423
Arizona,AZ,7158923,11,1.536543975,T,"1,161,167",44.58%,0.00,"1,252,401",48.08%,11,"106,327",4.08%,–,"34,345",1.32%,–,"17,449",0.67%,–,"32,968",1.27%,–,91234.00,3.50,2604657,4.223204821
Arkansas,AR,3013756,6,1.990871192,T,"380,494",33.65%,0.00,"684,872",60.57%,6,"29,949",2.64%,–,"9,473",0.84%,–,"13,176",1.17%,–,"12,712",1.12%,–,304378.00,26.92,1130676,5.306559969
California,CA,39576757,55,1.389704568,C,"8,753,788",61.73%,55.00,"4,483,810",31.62%,0,"478,500",3.37%,–,"278,657",1.96%,–,"39,596",0.28%,–,"147,244",1.04%,–,"−4,269,978",-30.11,14181595,3.878266161
Colorado,CO,5782171,9,1.556508792,C,"1,338,870",48.16%,9.00,"1,202,484",43.25%,0,"144,121",5.18%,–,"38,437",1.38%,–,"28,917",1.04%,–,"27,418",0.99%,–,"−136,386",-4.91,2780247,3.237122457
Connecticut,CT,3608298,7,1.939972807,C,"897,572",54.57%,7.00,"673,215",40.93%,0,"48,676",2.96%,–,"22,841",1.39%,–,"2,108",0.13%,–,508,0.03%,–,"−224,357",-13.64,1644920,4.255526105
Delaware,DE,990837,3,3.027743211,C,"235,603",53.09%,3.00,"185,127",41.72%,0,"14,757",3.32%,–,"6,103",1.37%,–,706,0.16%,–,"1,518",0.34%,–,"−50,476",-11.37,443814,6.759588476
District of Columbia,DC,536758,3,5.589110921,C,"282,830",90.86%,3.00,"12,723",4.09%,0,"4,906",1.57%,–,"4,258",1.36%,–,–,–,–,"6,551",2.52%,–,"−270,107",-86.77,311268,9.637996839
Florida,FL,21570527,29,1.344427051,T,"4,504,975",47.82%,0.00,"4,617,886",49.02%,29,"207,043",2.20%,–,"64,399",0.68%,–,–,–,–,"25,736",0.28%,–,112911.00,1.20,9420039,3.078543518
Georgia,GA,10725274,16,1.49180338,T,"1,877,963",45.64%,0.00,"2,089,104",50.77%,16,"125,306",3.05%,–,"7,674",0.19%,–,"13,017",0.32%,–,"1,668",0.04%,–,211141.00,5.13,4114732,3.888467098
Hawaii,HI,1460137,4,2.739468968,C,"266,891",62.22%,3.00,"128,847",30.03%,0,"15,954",3.72%,–,"12,737",2.97%,–,–,–,–,"4,508",1.05%,1,"−138,044",-32.19,428937,9.325378785
Idaho,ID,1841377,4,2.17228737,T,"189,765",27.49%,0.00,"409,055",59.26%,4,"28,331",4.10%,–,"8,496",1.23%,–,"46,476",6.73%,–,"8,132",1.18%,–,219290.00,31.77,690255,5.794959834
Ill.,IL,12822739,20,1.559729166,C,"3,090,729",55.83%,20.00,"2,146,015",38.76%,0,"209,596",3.79%,–,"76,802",1.39%,–,"11,655",0.21%,–,"1,627",0.03%,–,"−944,714",-17.07,5536424,3.612440088
Ind.,IN,6790280,11,1.619962652,T,"1,033,126",37.91%,0.00,"1,557,286",56.82%,11,"133,993",4.89%,–,"7,841",0.27%,–,–,–,–,"2,712",0.10%,–,524160.00,18.91,2734958,4.021999607
Iowa,IA,3192406,6,1.879460194,T,"653,669",41.74%,0.00,"800,983",51.15%,6,"59,186",3.78%,–,"11,479",0.73%,–,"12,366",0.79%,–,"28,348",1.81%,–,147314.00,9.41,1566031,3.831341781
