State,Abbreviate,ApportionPop,Reps,RepChange,ECVotes,ECVPM_ApportPop,ECVPM_deviation,2020BVotes,2020TVotes,Winner, Bpercentage , Tpercentage ,WinnerMargin,TotalVotes,ECV_perTurnout,ECV_deviation
Alabama,AL,5030053,7,0,9,1.789245561,-0.415242498,849624 ,1441170 ,T, 36.57 , 62.03 ,-25.46,2323282, 3.8738 ,-0.69307
Alaska,AK,736081,1,0,3,4.075638415,1.871150356,153778 ,189951 ,T, 42.77 , 52.83 ,-10.06,359530, 8.3442 ,3.77733
Arizona,AZ,7158923,9,0,11,1.536543975,-0.667944084,1672143 ,1661686 ,B, 49.36 , 49.06 ,0.31,3387326, 3.2474 ,-1.31950
Arkansas,AR,3013756,4,0,6,1.990871192,-0.213616866,423932 ,760647 ,T, 34.78 , 62.40 ,-27.62,1219069, 4.9218 ,0.35489
California,CA,39576757,52,-1,55,1.389704568,-0.81478349,11110250 ,6006429 ,B, 63.48 , 34.32 ,29.16,17500881, 3.1427 ,-1.42420
Colorado,CO,5782171,8,1,9,1.556508792,-0.647979266,1804352 ,1364607 ,B, 55.40 , 41.90 ,13.50,3256980, 2.7633 ,-1.80360
Connecticut,CT,3608298,5,0,7,1.939972807,-0.264515251,1080831 ,714717 ,B, 59.26 , 39.19 ,20.07,1823857, 3.8380 ,-0.72888
Delaware,DE,990837,1,0,3,3.027743211,0.823255153,296268 ,200603 ,B, 58.74 , 39.77 ,18.97,504346, 5.9483 ,1.38140
District of Columbia,DC,536758,0,0,3,5.589110921,3.384622863,317323 ,18586 ,B, 92.15 , 5.40 ,86.75,344356, 8.7119 ,4.14502
Florida,FL,21570527,28,1,29,1.344427051,-0.860061008,5297045 ,5668731 ,T, 47.86 , 51.22 ,-3.36,11067456, 2.6203 ,-1.94660
Georgia,GA,10725274,14,0,16,1.49180338,-0.712684679,2473633 ,2461854 ,B, 49.47 , 49.24 ,0.24,4999960, 3.2000 ,-1.36687
Hawaii,HI,1460137,2,0,4,2.739468968,0.534980909,366130 ,196864 ,B, 63.73 , 34.27 ,29.46,574469, 6.9630 ,2.39605
Idaho,ID,1841377,2,0,4,2.17228737,-0.032200689,287021 ,554119 ,T, 33.07 , 63.84 ,-30.77,868014, 4.6082 ,0.04132
Illinois,IL,12822739,17,-1,20,1.559729166,-0.644758893,3471915 ,2446891 ,B, 57.54 , 40.55 ,16.99,6033744, 3.3147 ,-1.25221
Indiana,IN,6790280,9,0,11,1.619962652,-0.584525406,1242416 ,1729519 ,T, 40.96 , 57.02 ,-16.06,3033121, 3.6266 ,-0.94027
Iowa,IA,3192406,4,0,6,1.879460194,-0.325027864,759061 ,897672 ,T, 44.89 , 53.09 ,-8.20,1690871, 3.5485 ,-1.01843
Kansas,KS,2940865,4,0,6,2.040216059,-0.164272,570323 ,771406 ,T, 41.56 , 56.21 ,-14.65,1372303, 4.3722 ,-0.19468
Kentucky,KY,4509342,6,0,8,1.774094757,-0.430393301,772474 ,1326646 ,T, 36.15 , 62.09 ,-25.94,2136768, 3.7440 ,-0.82292
Louisiana,LA,4661468,6,0,8,1.716197558,-0.4882905,856034 ,1255776 ,T, 39.85 , 58.46 ,-18.61,2148062, 3.7243 ,-0.84261
Maine,ME,1363582,2,0,4,2.93345028,0.728962222,266376 ,164045 ,B, 60.11 , 37.02 ,23.09,443112, 9.0271 ,4.46017
Maryland,MD,6185278,8,0,10,1.616742206,-0.587745852,1985023 ,976414 ,B, 65.36 , 32.15 ,33.21,3037030, 3.2927 ,-1.27421
Massachusetts,MA,7033469,9,0,11,1.563950875,-0.640537183,2382202 ,1167202 ,B, 65.60 , 32.14 ,33.46,3631402, 3.0291 ,-1.53776
Michigan,MI,10084442,13,-1,16,1.586602412,-0.617885647,2804040 ,2649852 ,B, 50.62 , 47.84 ,2.78,5539302, 2.8885 ,-1.67845
Minnesota,MN,5709752,8,0,10,1.751389552,-0.453098506,1717077 ,1484065 ,B, 52.40 , 45.28 ,7.11,3277171, 3.0514 ,-1.51548
Mississippi,MS,2963914,4,0,6,2.024350234,-0.180137824,539398 ,756764 ,T, 41.06 , 57.60 ,-16.55,1313759, 4.5670 ,0.00015
Missouri,MO,6160281,8,0,10,1.623302573,-0.581185485,1253014 ,1718736 ,T, 41.41 , 56.80 ,-15.39,3025962, 3.3047 ,-1.26216
Montana,MT,1085407,2,1,3,2.763940163,0.559452104,244786 ,343602 ,T, 40.55 , 56.92 ,-16.37,603674, 4.9696 ,0.40267
Nebraska,NE,1963333,3,0,5,2.546689736,0.342201678,374583 ,556846 ,T, 39.17 , 58.22 ,-19.06,956383, 5.2280 ,0.66113
Nevada,NV,3108462,4,0,6,1.930215007,-0.274273052,703486 ,669890 ,B, 50.06 , 47.67 ,2.39,1405376, 4.2693 ,-0.29758
New Hampshire,NH,1379089,2,0,4,2.900465452,0.695977394,424937 ,365660 ,B, 52.71 , 45.36 ,7.35,806205, 4.9615 ,0.39462
New Jersey,NJ,9294493,12,0,14,1.506268282,-0.698219777,2608335 ,1883274 ,B, 57.33 , 41.40 ,15.94,4549353, 3.0774 ,-1.48954
New Mexico,NM,2120220,3,0,5,2.358245842,0.153757784,501614 ,401894 ,B, 54.29 , 43.50 ,10.79,923965, 5.4115 ,0.84456
New York,NY,20215751,26,-1,29,1.43452499,-0.769963068,5230985 ,3244798 ,B, 60.86 , 37.75 ,23.11,8594826, 3.3741 ,-1.19277
North Carolina,NC,10453948,14,1,15,1.434864608,-0.76962345,2684292 ,2758775 ,T, 48.59 , 49.93 ,-1.35,5524804, 2.7150 ,-1.85187
North Dakota,ND,779702,1,0,3,3.847623836,1.643135777,114902 ,235595 ,T, 31.76 , 65.11 ,-33.36,361819, 8.2914 ,3.72454
Ohio,OH,11808848,15,-1,18,1.524280777,-0.680207282,2679165 ,3154834 ,T, 45.24 , 53.27 ,-8.03,5922202, 3.0394 ,-1.52749
Oklahoma,OK,3963516,5,0,7,1.766108677,-0.438379381,503890 ,1020280 ,T, 32.29 , 65.37 ,-33.09,1560699, 4.4852 ,-0.08173
Oregon,OR,4241500,6,1,7,1.650359543,-0.554128516,1340383 ,958448 ,B, 56.45 , 40.37 ,16.09,2374321, 2.9482 ,-1.61869
Pennsylvania,PA,13011844,17,-1,20,1.537061158,-0.667426901,3458229 ,3377674 ,B, 50.01 , 48.84 ,1.16,6915283, 2.8921 ,-1.67475
Rhode Island,RI,1098163,2,0,4,3.642446522,1.437958464,307486 ,199922 ,B, 59.39 , 38.61 ,20.77,517757, 7.7256 ,3.15873
South Carolina,SC,5124712,7,0,9,1.756196251,-0.448291808,1091541 ,1385103 ,T, 43.43 , 55.11 ,-11.68,2513329, 3.5809 ,-0.98599
South Dakota,SD,887770,1,0,3,3.379253636,1.174765577,150471 ,261043 ,T, 35.61 , 61.77 ,-26.16,422609, 7.0988 ,2.53186
Tennessee,TN,6916897,9,0,11,1.590308487,-0.614179572,1143711 ,1852475 ,T, 37.45 , 60.66 ,-23.21,3053851, 3.6020 ,-0.96489
Texas,TX,29183290,38,2,38,1.302115012,-0.902373047,5259126 ,5890347 ,T, 46.48 , 52.06 ,-5.58,11315056, 3.3584 ,-1.20854
