"State","Abbreviation","ApportionPop","TotalEV","ECVPM_ApportionPop","Winner","ClintonVotes","Clinton","ClintonEV","TrumpVotes","Trump","TrumpEV","JohnsonVotes","Johnson","JohnsonEV","SteinVotes","Stein","SteinEV","McMullinVotes","McMullin","McMullinEV","OthersVotes","Others","OthersEV","WinnerMarginVotes","WinnerMargin","TotalVotes","ECPerVoter","RunningECVotes"
"Wyoming","WY",577719,3,5.19283596350475,"T","55973","21.88",0,"174419","68.17",3,"13287","5.19","–","2515","0.98","–","–","–","–","9655","3.78","–","118446.00",46.29,255849,11.72566631,3
"West Virginia","WV",1795045,5,2.78544549022448,"T","188794","26.43",0,"489371","68.50",5,"23004","3.22","–","8075","1.13","–","1104","0.15","–","4075","0.57","–","300577.00",42.07,714423,6.998654859,8
"Oklahoma","OK",3963516,7,1.76610867724515,"T","420375","28.93",0,"949136","65.32",7,"83481","5.75","–","–","–","–","–","–","–","–","–","–","528761.00",36.39,1452992,4.817645245,15
"North Dakota","ND",779702,3,3.84762383577315,"T","93758","27.23",0,"216794","62.96",3,"21434","6.22","–","3780","1.10","–","–","–","–","8594","2.49","–","123036.00",35.73,344360,8.711813219,18
"Idaho","ID",1841377,4,2.17228736972385,"T","189765","27.49",0,"409055","59.26",4,"28331","4.10","–","8496","1.23","–","46476","6.73","–","8132","1.18","–","219290.00",31.77,690255,5.794959834,22
"Ky.","KY",4509342,8,1.77409475706212,"T","628854","32.68",0,"1202971","62.52",8,"53752","2.79","–","13913","0.72","–","22780","1.18","–","1879","0.10","–","574177.00",29.84,1924149,4.157682175,30
"South Dakota","SD",887770,3,3.3792536355137,"T","117458","31.74",0,"227721","61.53",3,"20850","5.63","–","–","–","–","–","–","–","4064","1.10","–","110263.00",29.79,370093,8.106070636,33
"Alabama","AL",5030053,9,1.78924556063326,"T","729547","34.36",0,"1318255","62.08",9,"44467","2.09","–","9391","0.44","–","–","–","–","21712","1.02","–","588708.00",27.72,2123372,4.238541339,42
"Arkansas","AR",3013756,6,1.99087119196113,"T","380494","33.65",0,"684872","60.57",6,"29949","2.64","–","9473","0.84","–","13176","1.17","–","12712","1.12","–","304378.00",26.92,1130676,5.306559969,48
"Tennessee","TN",6916897,11,1.59030848659449,"T","870695","34.72",0,"1522925","60.72",11,"70397","2.81","–","15993","0.64","–","11991","0.48","–","16026","0.64","–","652230.00",26,2508027,4.385917695,59
