,year,state,special,candidateCount,totalVotes,winnerName,winnerParty,winnerVotes,winnerPct,winnerVAll,secondPlaceName,SecondPlaceParty,secondPlaceVotes,secondPlacePct,winnerVSecond,incumbentWinner,incumbentSecond
1,1978,ALABAMA,FALSE,2,582005,HOWELL HEFLIN,DEMOCRAT,547054,0.939947251,87.98945026,JEROME B. COUCH,OTHER,34951,0.060052749,87.98945026,FALSE,FALSE
2,1978,ALABAMA,TRUE,4,729842,DONALD STEWART,DEMOCRAT,401852,0.550601363,10.12027261,JAMES D. MARTIN,REPUBLICAN,316170,0.433203351,11.73980122,FALSE,FALSE
3,1980,ALABAMA,FALSE,7,1296757,JEREMIAH DENTON,REPUBLICAN,650362,0.501529585,0.305916991,JIM FOLSOM JR.,DEMOCRAT,610175,0.470539199,3.099038602,FALSE,FALSE
4,1984,ALABAMA,FALSE,3,1371234,HOWELL HEFLIN,DEMOCRAT,860535,0.627562473,25.51249459,ALBERT LEE SMITH,REPUBLICAN,498508,0.363546995,26.4015478,TRUE,FALSE
5,1986,ALABAMA,FALSE,2,1211897,RICHARD SHELBY,DEMOCRAT,609360,0.502815008,0.563001641,JEREMIAH DENTON,REPUBLICAN,602537,0.497184992,0.563001641,FALSE,TRUE
6,1990,ALABAMA,FALSE,3,1185154,HOWELL HEFLIN,DEMOCRAT,717814,0.605671499,21.13429985,BILL CABANISS,REPUBLICAN,467190,0.394201935,21.14695643,TRUE,FALSE
7,1992,ALABAMA,FALSE,4,1577799,RICHARD C. SHELBY,DEMOCRAT,1022698,0.648180155,29.63603095,RICHARD SELLERS,REPUBLICAN,522015,0.330850127,31.73300275,FALSE,FALSE
8,1996,ALABAMA,FALSE,5,1499393,JEFF SESSIONS,REPUBLICAN,786436,0.524502916,4.900583103,ROGER BEDFORD,DEMOCRAT,681651,0.454617969,6.988494678,FALSE,FALSE
9,1998,ALABAMA,FALSE,3,1293405,RICHARD C. SHELBY,REPUBLICAN,817973,0.632418307,26.48366134,CLAYTON SUDDITH,DEMOCRAT,474568,0.366913689,26.55046177,TRUE,FALSE
10,2002,ALABAMA,FALSE,4,1353023,JEFF SESSIONS,REPUBLICAN,792561,0.58577053,17.15410603,SUSAN PARKER,DEMOCRAT,538878,0.398277043,18.74934868,TRUE,FALSE
11,2004,ALABAMA,FALSE,3,1839066,RICHARD C. SHELBY,REPUBLICAN,1242200,0.675451561,35.09031215,WAYNE SOWELL,DEMOCRAT,595018,0.323543581,35.19079794,TRUE,FALSE
12,2008,ALABAMA,FALSE,3,2060191,JEFF SESSIONS,REPUBLICAN,1305383,0.633622319,26.7244639,VIVIAN DAVIS FIGURES,DEMOCRAT,752391,0.365204488,26.84178312,TRUE,FALSE
13,2010,ALABAMA,FALSE,3,1485499,RICHARD C. SHELBY,REPUBLICAN,968181,0.65175473,30.35094605,WILLIAM G. BARNES,DEMOCRAT,515619,0.347101546,30.46531839,TRUE,FALSE
14,2014,ALABAMA,FALSE,2,818090,JEFF SESSIONS,REPUBLICAN,795606,0.972516471,94.50329426,,OTHER,22484,0.027483529,94.50329426,TRUE,FALSE
15,2016,ALABAMA,FALSE,3,2087444,RICHARD C. SHELBY,REPUBLICAN,1335104,0.639587936,27.91758725,RON CRUMPTON,DEMOCRAT,748709,0.358672616,28.09153204,TRUE,FALSE
16,2020,ALABAMA,FALSE,3,2316445,TOMMY TUBERVILLE,REPUBLICAN,1392076,0.600953616,20.19072329,DOUG JONES,DEMOCRAT,920478,0.397366655,20.35869619,FALSE,FALSE
17,2022,ALABAMA,FALSE,3,1,KATIE BRITT,REPUBLICAN,0.67,0.67,34,WILL BOYD,DEMOCRAT,0.31,0.31,36,FALSE,FALSE
18,1978,ALASKA,FALSE,3,122741,TED STEVENS,REPUBLICAN,92783,0.755925078,51.1850156,DONALD HOBBS,DEMOCRAT,29574,0.240946383,51.4978695,FALSE,FALSE
19,1980,ALASKA,FALSE,3,156762,FRANK H. MURKOWSKI,REPUBLICAN,84159,0.536858422,7.371684464,CLARK S. GRUENING,DEMOCRAT,72007,0.459339636,7.751878644,FALSE,FALSE
20,1984,ALASKA,FALSE,3,206438,TED STEVENS,REPUBLICAN,146919,0.711685833,42.33716661,JOHN E. HAVELOCK,DEMOCRAT,58804,0.284850657,42.68351757,TRUE,FALSE
21,1986,ALASKA,FALSE,4,180801,FRANK H. MURKOWSKI,REPUBLICAN,97674,0.540229313,8.045862578,GLENN OLDS,DEMOCRAT,79727,0.440965481,9.926383151,TRUE,FALSE
22,1990,ALASKA,FALSE,3,189957,TED STEVENS,REPUBLICAN,125806,0.662286728,32.45734561,MICHAEL BEASLEY,DEMOCRAT,61152,0.321925488,34.03612396,TRUE,FALSE
23,1992,ALASKA,FALSE,4,239714,FRANK H. MURKOWSKI,REPUBLICAN,127163,0.530477986,6.095597253,TONY SMITH,DEMOCRAT,92065,0.38406184,14.64161459,TRUE,FALSE
24,1996,ALASKA,FALSE,4,231916,TED STEVENS,REPUBLICAN,177893,0.7670579,53.41158005,JED WHITTAKER,OTHER,29037,0.125204816,64.18530847,TRUE,FALSE
25,1998,ALASKA,FALSE,5,221807,FRANK H. MURKOWSKI,REPUBLICAN,165227,0.744913371,48.98267413,"JOSEPH A. ""JOE"" SONNEMAN",DEMOCRAT,43743,0.197211991,54.770138,TRUE,FALSE
26,2002,ALASKA,FALSE,6,229548,TED STEVENS,REPUBLICAN,179438,0.781701431,56.34028613,FRANK VONDERSAAR,DEMOCRAT,24133,0.105132696,67.65687351,TRUE,FALSE
