"","year","state","special","candidateCount","totalVotes","winnerName","winnerParty","winnerVotes","winnerPct","winnerVAll","secondPlaceName","SecondPlaceParty","secondPlaceVotes","secondPlacePct","winnerVSecond","incumbentWinner","incumbentSecond"
"1",1978,"ALABAMA","False",2,582005,"HOWELL HEFLIN","DEMOCRAT",547054,0.939947251312274,87.9894502624548,"JEROME B. COUCH","OTHER",34951,0.0600527486877261,87.9894502624548,FALSE,FALSE
"2",1978,"ALABAMA","True",4,729842,"DONALD STEWART","DEMOCRAT",401852,0.550601363034739,10.1202726069478,"JAMES D. MARTIN","REPUBLICAN",316170,0.433203350862241,11.7398012172498,FALSE,FALSE
"3",1980,"ALABAMA","False",7,1296757,"JEREMIAH DENTON","REPUBLICAN",650362,0.501529584956935,0.305916991386979,"JIM FOLSOM JR.","DEMOCRAT",610175,0.470539198940125,3.09903860168096,FALSE,FALSE
"4",1984,"ALABAMA","False",3,1371234,"HOWELL HEFLIN","DEMOCRAT",860535,0.627562472925846,25.5124945851693,"ALBERT LEE SMITH","REPUBLICAN",498508,0.363546994896568,26.4015478029279,TRUE,FALSE
"5",1986,"ALABAMA","False",2,1211897,"RICHARD SHELBY","DEMOCRAT",609360,0.502815008206143,0.563001641228578,"JEREMIAH DENTON","REPUBLICAN",602537,0.497184991793857,0.563001641228583,FALSE,TRUE
"6",1990,"ALABAMA","False",3,1185154,"HOWELL HEFLIN","DEMOCRAT",717814,0.605671499231324,21.1342998462647,"BILL CABANISS","REPUBLICAN",467190,0.394201934938413,21.1469564292911,TRUE,FALSE
"7",1992,"ALABAMA","False",4,1577799,"RICHARD C. SHELBY","DEMOCRAT",1022698,0.64818015475989,29.636030951978,"RICHARD SELLERS","REPUBLICAN",522015,0.330850127297584,31.7330027462307,FALSE,FALSE
"8",1996,"ALABAMA","False",5,1499393,"JEFF SESSIONS","REPUBLICAN",786436,0.524502915513144,4.90058310262886,"ROGER BEDFORD","DEMOCRAT",681651,0.454617968738016,6.98849467751284,FALSE,FALSE
"9",1998,"ALABAMA","False",3,1293405,"RICHARD C. SHELBY","REPUBLICAN",817973,0.63241830671754,26.483661343508,"CLAYTON SUDDITH","DEMOCRAT",474568,0.366913689061044,26.5504617656496,TRUE,FALSE
"10",2002,"ALABAMA","False",4,1353023,"JEFF SESSIONS","REPUBLICAN",792561,0.585770530138808,17.1541060277615,"SUSAN PARKER","DEMOCRAT",538878,0.398277043331858,18.749348680695,TRUE,FALSE
"11",2004,"ALABAMA","False",3,1839066,"RICHARD C. SHELBY","REPUBLICAN",1242200,0.675451560737896,35.0903121475792,"WAYNE SOWELL","DEMOCRAT",595018,0.323543581361408,35.1907979376488,TRUE,FALSE
"12",2008,"ALABAMA","False",3,2060191,"JEFF SESSIONS","REPUBLICAN",1305383,0.63362231948397,26.724463896794,"VIVIAN DAVIS FIGURES","DEMOCRAT",752391,0.365204488321714,26.8417831162256,TRUE,FALSE
"13",2010,"ALABAMA","False",3,1485499,"RICHARD C. SHELBY","REPUBLICAN",968181,0.651754730228698,30.3509460457395,"WILLIAM G. BARNES","DEMOCRAT",515619,0.347101546349072,30.4653183879626,TRUE,FALSE
"14",2014,"ALABAMA","False",2,818090,"JEFF SESSIONS","REPUBLICAN",795606,0.97251647129289,94.5032942585779,"","OTHER",22484,0.0274835287071105,94.5032942585779,TRUE,FALSE
"15",2016,"ALABAMA","False",3,2087444,"RICHARD C. SHELBY","REPUBLICAN",1335104,0.639587936251224,27.9175872502448,"RON CRUMPTON","DEMOCRAT",748709,0.358672615888139,28.0915320363085,TRUE,FALSE
"16",2020,"ALABAMA","False",3,2316445,"TOMMY TUBERVILLE","REPUBLICAN",1392076,0.600953616425169,20.1907232850338,"DOUG JONES","DEMOCRAT",920478,0.39736665450723,20.3586961917939,FALSE,FALSE
"17",2022,"ALABAMA","false",3,1,"KATIE BRITT","REPUBLICAN",0.67,0.67,34,"WILL BOYD","DEMOCRAT",0.31,0.31,36,FALSE,FALSE
"18",1978,"ALASKA","False",3,122741,"TED STEVENS","REPUBLICAN",92783,0.755925078009793,51.1850156019586,"DONALD HOBBS","DEMOCRAT",29574,0.240946383034194,51.4978694975599,FALSE,FALSE
"19",1980,"ALASKA","False",3,156762,"FRANK H. MURKOWSKI","REPUBLICAN",84159,0.536858422321736,7.37168446434722,"CLARK S. GRUENING","DEMOCRAT",72007,0.459339635881145,7.75187864405914,FALSE,FALSE
"20",1984,"ALASKA","False",3,206438,"TED STEVENS","REPUBLICAN",146919,0.711685833034616,42.3371666069231,"JOHN E. HAVELOCK","DEMOCRAT",58804,0.284850657340218,42.6835175694397,TRUE,FALSE
"21",1986,"ALASKA","False",4,180801,"FRANK H. MURKOWSKI","REPUBLICAN",97674,0.540229312890969,8.04586257819371,"GLENN OLDS","DEMOCRAT",79727,0.440965481385612,9.92638315053567,TRUE,FALSE
"22",1990,"ALASKA","False",3,189957,"TED STEVENS","REPUBLICAN",125806,0.662286728048979,32.4573456097959,"MICHAEL BEASLEY","DEMOCRAT",61152,0.321925488400006,34.0361239648973,TRUE,FALSE
"23",1992,"ALASKA","False",4,239714,"FRANK H. MURKOWSKI","REPUBLICAN",127163,0.530477986266968,6.09559725339364,"TONY SMITH","DEMOCRAT",92065,0.384061840359762,14.6416145907206,TRUE,FALSE
"24",1996,"ALASKA","False",4,231916,"TED STEVENS","REPUBLICAN",177893,0.767057900274237,53.4115800548474,"JED WHITTAKER","OTHER",29037,0.12520481553666,64.1853084737577,TRUE,FALSE
"25",1998,"ALASKA","False",5,221807,"FRANK H. MURKOWSKI","REPUBLICAN",165227,0.744913370633028,48.9826741266056,"JOSEPH A. ""JOE"" SONNEMAN","DEMOCRAT",43743,0.197211990604444,54.7701380028583,TRUE,FALSE
"26",2002,"ALASKA","False",6,229548,"TED STEVENS","REPUBLICAN",179438,0.781701430637601,56.3402861275202,"FRANK VONDERSAAR","DEMOCRAT",24133,0.105132695558227,67.6568735079373,TRUE,FALSE
"27",2004,"ALASKA","False",8,308315,"LISA MURKOWSKI","REPUBLICAN",149773,0.48577915443621,-2.84416911275805,"TONY KNOWLES","DEMOCRAT",140424,0.455456270372833,3.03228840633767,FALSE,FALSE
"28",2008,"ALASKA","False",6,317723,"MARK BEGICH","DEMOCRAT",151767,0.477670801295468,-4.46583974090639,"TED STEVENS","REPUBLICAN",147814,0.465229146143024,1.24416551524441,FALSE,TRUE
"29",2010,"ALASKA","False",9,255503,"LISA MURKOWSKI","OTHER",101091,0.395654845539974,-20.8690308920052,"JOE MILLER","REPUBLICAN",90839,0.355530072053948,4.01247734860256,TRUE,FALSE
"30",2014,"ALASKA","False",5,282400,"DAN SULLIVAN","REPUBLICAN",135445,0.479621104815864,-4.07577903682719,"MARK BEGICH","DEMOCRAT",129431,0.45832507082153,2.12960339943343,FALSE,TRUE
"31",2016,"ALASKA","False",7,311441,"LISA MURKOWSKI","REPUBLICAN",138149,0.443580003917275,-11.283999216545,"JOE MILLER","LIBERTARIAN",90825,0.291628269880973,15.1951734036302,TRUE,FALSE
"32",2020,"ALASKA","False",4,354587,"DAN SULLIVAN","REPUBLICAN",191112,0.538970689844805,7.79413796896107,"AL GROSS","DEMOCRAT",146068,0.411938395936681,12.7032293908124,TRUE,FALSE
"33",1976,"ARIZONA","False",5,741210,"DENNIS DECONCINI","DEMOCRAT",400334,0.540108741112505,8.02174822250104,"SAM STEIGER","REPUBLICAN",321236,0.433394044872573,10.6714696239932,FALSE,FALSE
"34",1980,"ARIZONA","False",6,874238,"BARRY GOLDWATER","REPUBLICAN",432371,0.494568984647201,-1.08620307055973,"BILL SCHULZ","DEMOCRAT",422972,0.483817907709342,1.0751076937859,FALSE,FALSE
"35",1982,"ARIZONA","False",4,723885,"DENNIS DECONCINI","DEMOCRAT",411970,0.569109734280998,13.8219468561995,"PETE DUNN","REPUBLICAN",291749,0.403032249597657,16.6077484683341,TRUE,FALSE
"36",1986,"ARIZONA","False",5,862921,"JOHN MCCAIN","REPUBLICAN",521850,0.604748290979128,20.9496581958256,"RICHARD KIMBALL","DEMOCRAT",340965,0.395128870429622,20.9619420549506,FALSE,FALSE
"37",1988,"ARIZONA","False",5,1164539,"DENNIS DECONCINI","DEMOCRAT",660403,0.567093931590097,13.4187863180194,"KEITH DEGREEN","REPUBLICAN",478060,0.410514375216287,15.657955637381,TRUE,FALSE
"38",1992,"ARIZONA","False",6,1382051,"JOHN MCCAIN","REPUBLICAN",771395,0.558152340253724,11.6304680507449,"CLAIRE SARGENT","DEMOCRAT",436321,0.315705426210755,24.244691404297,TRUE,FALSE
"39",1994,"ARIZONA","False",4,1119060,"JON KYL","REPUBLICAN",600999,0.537056994263042,7.41139885260844,"SAM COPPERSMITH","DEMOCRAT",442510,0.395430093113863,14.1626901149179,FALSE,FALSE
"40",1998,"ARIZONA","False",5,1013280,"JOHN MCCAIN","REPUBLICAN",696577,0.687447694615506,37.4895389231012,"ED RANGER","DEMOCRAT",275224,0.271616927206695,41.5830767408811,TRUE,FALSE
"41",2000,"ARIZONA","False",4,1397076,"JON KYL","REPUBLICAN",1108196,0.793225279082885,58.6450558165769,"WILLIAM TOEL","OTHER",109230,0.0781847229499326,71.5040556132952,TRUE,FALSE
"42",2004,"ARIZONA","False",3,1961677,"JOHN MCCAIN","REPUBLICAN",1505372,0.767390350195267,53.4780700390533,"STUART STARKY","DEMOCRAT",404507,0.206204691190242,56.1185659005025,TRUE,FALSE
"43",2006,"ARIZONA","False",4,1526782,"JON KYL","REPUBLICAN",814398,0.53340817484094,6.68163496818799,"JIM PEDERSON","DEMOCRAT",664141,0.434993993903517,9.84141809374226,TRUE,FALSE
"44",2010,"ARIZONA","False",9,1708484,"JOHN MCCAIN","REPUBLICAN",1005615,0.588600771210032,17.7201542420064,"RODNEY GLASSMAN","DEMOCRAT",592011,0.346512463681252,24.208830752878,TRUE,FALSE
"45",2012,"ARIZONA","False",5,2243422,"JEFF FLAKE","REPUBLICAN",1104457,0.492309070696463,-1.53818586070744,"RICHARD CARMONA","DEMOCRAT",1036542,0.462036121603515,3.02729490929481,FALSE,FALSE
"46",2016,"ARIZONA","False",11,2530730,"JOHN MCCAIN","REPUBLICAN",1359267,0.53710470891798,7.42094178359605,"ANN KIRKPATRICK","DEMOCRAT",1031245,0.407489143448728,12.9615565469252,TRUE,FALSE
"47",2018,"ARIZONA","False",4,2384308,"KYRSTEN SINEMA","DEMOCRAT",1191100,0.499557943017429,-0.0884113965142097,"MARTHA MCSALLY","REPUBLICAN",1135200,0.476112985402893,2.34449576145364,FALSE,FALSE
"48",2020,"ARIZONA","True",19,3355307,"MARK KELLY","DEMOCRAT",1716467,0.511567793945532,2.31355878910633,"MARTHA MCSALLY","REPUBLICAN",1637661,0.488080822410587,2.34869715349445,FALSE,FALSE
"49",2022,"ARIZONA","false",3,1,"MARK KELLY","DEMOCRAT",0.51,0.51,2,"BLAKE MASTERS","REPUBLICAN",0.47,0.47,4,TRUE,FALSE
"50",1978,"ARKANSAS","False",4,517138,"DAVID PRYOR","DEMOCRAT",395506,0.764797790918478,52.9595581836956,"TOM KELLY","REPUBLICAN",84308,0.163028050539701,60.1769740378777,FALSE,FALSE
"51",1980,"ARKANSAS","False",3,808812,"DALE BUMPERS","DEMOCRAT",477905,0.590872786259353,18.1745572518706,"BILL CLARK","REPUBLICAN",330576,0.408717971543449,18.2154814715904,FALSE,FALSE
"52",1984,"ARKANSAS","False",2,875956,"DAVID PRYOR","DEMOCRAT",502341,0.573477434939655,14.6954869879309,"ED BETHUNE","REPUBLICAN",373615,0.426522565060345,14.6954869879309,TRUE,FALSE
"53",1986,"ARKANSAS","False",3,695487,"DALE BUMPERS","DEMOCRAT",433122,0.62276074175362,24.552148350724,"ASA HUTCHINSON","REPUBLICAN",262313,0.377164490493712,24.5596251259909,TRUE,FALSE
"54",1990,"ARKANSAS","False",2,494735,"DAVID H. PRYOR","DEMOCRAT",493910,0.998332440599513,99.6664881199026,"","OTHER",825,0.00166755940048713,99.6664881199026,FALSE,FALSE
"55",1992,"ARKANSAS","False",2,920008,"DALE BUMPERS","DEMOCRAT",553635,0.601771941113556,20.3543882227111,"MIKE HUCKABEE","REPUBLICAN",366373,0.398228058886444,20.3543882227111,TRUE,FALSE
"56",1996,"ARKANSAS","False",2,846183,"Y. TIM HUTCHINSON","REPUBLICAN",445942,0.527004205945995,5.40084118919903,"WINSTON BRYANT","DEMOCRAT",400241,0.472995794054005,5.40084118919903,FALSE,FALSE
"57",1998,"ARKANSAS","False",4,700831,"BLANCHE LAMBERT LINCOLN","DEMOCRAT",385878,0.550600644092513,10.1201288185026,"FAY BOOZMAN","REPUBLICAN",295870,0.422170252172064,12.8430391920449,FALSE,FALSE
"58",2002,"ARKANSAS","False",2,804121,"MARK PRYOR","DEMOCRAT",433386,0.538956201865142,7.79124037302843,"TIM HUTCHINSON","REPUBLICAN",370735,0.461043798134858,7.79124037302843,FALSE,FALSE
"59",2004,"ARKANSAS","False",4,1039349,"BLANCHE L. LINCOLN","DEMOCRAT",580973,0.558977783208528,11.7955566417055,"JIM HOLT","REPUBLICAN",458036,0.440695088945099,11.8282694263428,FALSE,FALSE
"60",2008,"ARKANSAS","False",2,1011754,"MARK L. PRYOR","DEMOCRAT",804678,0.7953296947677,59.0659389535401,"REBEKAH KENNEDY","OTHER",207076,0.2046703052323,59.0659389535401,FALSE,FALSE
"61",2010,"ARKANSAS","False",6,779957,"JOHN BOOZMAN","REPUBLICAN",451618,0.57902935674659,15.805871349318,"BLANCHE L. LINCOLN","DEMOCRAT",288156,0.369451136408802,20.9578220337788,FALSE,TRUE
"62",2014,"ARKANSAS","False",5,847505,"TOM COTTON","REPUBLICAN",478819,0.564974837906561,12.9949675813122,"MARK L. PRYOR","DEMOCRAT",334174,0.394303278446735,17.0671559459826,FALSE,TRUE
"63",2016,"ARKANSAS","False",4,1107522,"JOHN BOOZMAN","REPUBLICAN",661984,0.597716343332232,19.5432686664464,"CONNER ELDRIDGE","DEMOCRAT",400602,0.361710196276011,23.6006147056221,TRUE,FALSE
"64",2020,"ARKANSAS","False",2,1193261,"TOM COTTON","REPUBLICAN",793871,0.665295354494951,33.0590708989902,"RICKY DALE HARRINGTON JR.","LIBERTARIAN",399390,0.334704645505049,33.0590708989902,TRUE,FALSE
